IssueID,Phase,Epic,Title,Owner,DependsOn,Priority,Estimate,DoneWhen
D-6,3,Materializer Core,Build canonical runtime pack,Compiler/Materializer,"D-4|D-5",P0,L,"Channels/signals/blocks/sequences/alarms emitted deterministically"
D-7,3,Materializer Core,Implement ownership diagnostics mapping,Compiler/Materializer,D-6,P1,M,"Runtime nodes map back to authoring owners"
E-1,4,ESP32 Target Adapter,Define esp32/v1 target profile,Runtime+Architecture,A-3,P0,S,"Capabilities and limits documented"
E-2,4,ESP32 Target Adapter,Implement runtime pack -> firmware emitter,Runtime,"D-6|E-1",P0,L,"Emitter compatible with runtime core"
E-3,4,ESP32 Target Adapter,Implement deploy/apply API,Runtime,E-2,P1,M,"Upload validate apply restart flow works"
E-4,4,ESP32 Target Adapter,Implement live state bridge,Runtime,E-2,P1,M,"Signals/status/alarms/operations exposed with stable ids"
E-5,4,ESP32 Target Adapter,Implement diagnostics bridge,Runtime,E-4,P1,M,"Runtime errors map to owner ids"
F-1,5,Standard Library v1,TimedRelay object contract,Library,"A-4|D-6",P0,M,"Spec + facets + lowering template ready"
F-2,5,Standard Library v1,Flowmeter object contract,Library,"A-4|D-6",P0,L,"Sensor modes totalizer reset debug setup covered"
F-3,5,Standard Library v1,PIDController object contract,Library,"A-4|D-6",P0,L,"Tuning autotune and trends contract ready"
F-4,5,Standard Library v1,CommBridge object contract,Library,"A-4|D-6",P1,M,"Comms facets and health/status covered"
F-5,5,Standard Library v1,PumpOrValveActuator contract,Library,"A-4|D-6",P1,M,"State diagnostics command/status covered"
G-1,6,Component Faces,Overview face renderer,Frontend,"C-6|F-1|F-2|F-3|F-4|F-5",P1,M,"Generic overview widgets with live status"
G-2,6,Component Faces,Setup face renderer,Frontend,"C-6|A-4",P1,M,"Param groups units bounds hints validation rendered"
G-3,6,Component Faces,Tune face renderer,Frontend,"G-2|F-3",P1,M,"Safe tuning apply UX implemented"
G-4,6,Component Faces,Actions face renderer,Frontend+Runtime,"A-4|E-4",P1,M,"Operations lifecycle visible and controllable"
G-5,6,Component Faces,Trends face renderer,Frontend+Runtime,"A-4|E-4",P1,M,"Generic trend widget with trace groups"
G-6,6,Component Faces,Diagnostics face renderer,Frontend+Runtime,E-5,P1,M,"Diagnostics grouped by object/owner"
H-1,7,Simulation,Freeze simulation contract,Architecture+Library,A-4,P1,M,"Simulation hooks and virtual I/O contract fixed"
H-2,7,Simulation,Implement minimal simulation backend,Compiler+Runtime,"H-1|D-6",P1,L,"Simulated values feed normal paths"
H-3,7,Simulation,Implement fault injection,Runtime+QA,H-2,P2,M,"Forced stale noisy stuck scenarios available"
H-4,7,Simulation,Implement test scenario runner,QA+Frontend,H-2,P2,M,"Scenario playback and assertions work"
I-1,8,Boiler Package,BoilerSupervisor type,Package Team,"F-1|F-2|F-3|F-4|F-5|D-6",P1,L,"External contract frozen and composition skeleton ready"
I-2,8,Boiler Package,BurnerSequence type,Package Team,"D-6|H-2",P1,L,"State contract diagnostics simulation hooks ready"
I-3,8,Boiler Package,TripGroup type,Package Team,"F-5|D-6",P1,M,"Interlocks trips alarms contract ready"
I-4,8,Boiler Package,ValveTrain type,Package Team,"F-5|D-6",P1,M,"Actuator composition and safety diagnostics ready"
I-5,8,Boiler Package,Boiler views and presets,Package Team+Frontend,"G-1|G-2|G-3|G-4|G-5|G-6|I-1|I-2|I-3|I-4",P2,L,"Package HMI shell and presets ready"
J-1,9,Beta Hardening,Migration test matrix,QA,"B-4|C-3|D-6",P1,M,"Legacy migration cases covered"
J-2,9,Beta Hardening,ESP32 performance and memory profile,Runtime,E-2,P1,M,"Measured limits and diagnostics when exceeded"
J-3,9,Beta Hardening,Audit and access enforcement,Frontend+Runtime,"G-2|G-4",P2,M,"Roles enforced and changes logged"
J-4,9,Beta Hardening,Hardware-in-the-loop regression,QA+Runtime,"E-4|I-5",P2,L,"Core scenarios run on hardware"
